time,open,high,low,close,volume,vw
2020-01-02 00:00:00-05:00,5.969,5.998,5.918,5.998,251352600,5.969
2020-01-03 00:00:00-05:00,5.877,5.946,5.853,5.902,219554560,5.909
2020-01-06 00:00:00-05:00,5.808,5.932,5.782,5.927,288901160,5.888
2020-01-07 00:00:00-05:00,5.955,6.044,5.91,5.998,337456080,5.998
2020-01-08 00:00:00-05:00,5.994,6.051,5.954,6.01,300993160,6.008
2020-01-09 00:00:00-05:00,6.096,6.148,6.021,6.076,270487040,6.09
2020-01-10 00:00:00-05:00,6.183,6.214,6.094,6.108,329621200,6.153
2020-01-13 00:00:00-05:00,6.192,6.325,6.169,6.3,342758880,6.268
2020-01-14 00:00:00-05:00,6.257,6.282,6.169,6.182,390518480,6.21
2020-01-15 00:00:00-05:00,6.195,6.217,6.113,6.139,277016720,6.156
2020-01-16 00:00:00-05:00,6.193,6.229,6.169,6.223,300023720,6.202
2020-01-17 00:00:00-05:00,6.243,6.25,6.184,6.232,294740440,6.223
2020-01-21 00:00:00-05:00,6.195,6.232,6.164,6.199,254773240,6.202
2020-01-22 00:00:00-05:00,6.244,6.34,6.225,6.251,263175960,6.281
2020-01-23 00:00:00-05:00,6.293,6.33,6.204,6.322,263113520,6.284
2020-01-24 00:00:00-05:00,6.438,6.488,6.208,6.262,394422080,6.328
2020-01-27 00:00:00-05:00,5.956,6.056,5.806,6.005,500914200,5.992
2020-01-28 00:00:00-05:00,6.071,6.232,6.018,6.199,330263320,6.146
2020-01-29 00:00:00-05:00,6.185,6.221,6.099,6.139,274087680,6.15
2020-01-30 00:00:00-05:00,6.04,6.159,5.985,6.145,304501200,6.081
2020-01-31 00:00:00-05:00,6.099,6.111,5.869,5.911,394856880,5.952
2020-02-03 00:00:00-05:00,5.893,6.028,5.886,6.008,275253360,5.991
2020-02-04 00:00:00-05:00,6.151,6.198,6.101,6.178,291229040,6.162
2020-02-05 00:00:00-05:00,6.3,6.31,6.185,6.269,226235600,6.255
2020-02-06 00:00:00-05:00,6.304,6.356,6.222,6.356,231637880,6.309
2020-02-07 00:00:00-05:00,6.316,6.338,6.264,6.29,202523320,6.298
