time,open,high,low,close,volume,vw
2020-01-02 00:00:00-05:00,299.48,306.44,299.48,306.28,1609615,304.22
2020-01-03 00:00:00-05:00,301.86,309.3,301.02,306.7,1832328,306.05
2020-01-06 00:00:00-05:00,306.9,307.68,305.0,307.36,1556010,306.8
2020-01-07 00:00:00-05:00,303.8,307.26,303.8,306.38,1644365,306.01
2020-01-08 00:00:00-05:00,306.24,309.1,305.47,306.84,1377776,306.86
2020-01-09 00:00:00-05:00,307.6,308.38,306.24,307.3,1701077,307.23
2020-01-10 00:00:00-05:00,308.02,308.02,302.86,303.72,1800969,304.26
2020-01-13 00:00:00-05:00,304.04,305.0,302.86,304.1,1958972,303.96
2020-01-14 00:00:00-05:00,302.74,304.82,302.24,303.08,1859288,303.19
2020-01-15 00:00:00-05:00,303.28,306.14,302.3,303.92,1760068,304.32
2020-01-16 00:00:00-05:00,305.22,308.04,305.22,307.1,2051042,306.9
2020-01-17 00:00:00-05:00,308.62,311.06,307.36,308.8,2655621,308.84
2020-01-21 00:00:00-05:00,307.72,311.02,305.56,308.94,2943524,308.61
2020-01-22 00:00:00-05:00,308.76,310.12,306.66,307.58,2142731,307.79
2020-01-23 00:00:00-05:00,307.22,308.48,305.18,307.6,2243692,307.5
2020-01-24 00:00:00-05:00,306.8,308.84,304.77,306.38,2061328,306.75
2020-01-27 00:00:00-05:00,301.5,303.92,300.02,302.06,2479928,302.22
2020-01-28 00:00:00-05:00,301.06,308.82,296.1,305.72,3009124,305.32
2020-01-29 00:00:00-05:00,307.84,307.9,302.94,305.64,2093546,305.85
2020-01-30 00:00:00-05:00,302.88,308.42,302.88,308.0,2384231,306.33
2020-01-31 00:00:00-05:00,306.4,307.16,299.24,300.4,2727961,301.34
2020-02-03 00:00:00-05:00,302.12,304.62,299.58,299.9,2599375,301.2
2020-02-04 00:00:00-05:00,302.9,306.66,302.81,306.0,2280302,305.35
2020-02-05 00:00:00-05:00,309.4,311.26,306.8,311.26,1935252,310.0
2020-02-06 00:00:00-05:00,312.74,313.48,310.36,312.4,2096815,312.33
2020-02-07 00:00:00-05:00,311.22,315.72,311.22,313.66,2759366,314.08
2020-02-10 00:00:00-05:00,312.62,315.96,309.93,313.1,2244176,312.89
2020-02-11 00:00:00-05:00,316.44,316.87,309.74,310.5,2890962,312.12
2020-02-12 00:00:00-05:00,310.3,311.56,307.12,310.36,3168210,309.2
2020-02-13 00:00:00-05:00,308.06,309.3,305.84,306.12,1869555,306.89
2020-02-14 00:00:00-05:00,306.16,308.1,305.14,306.92,2360007,306.68
2020-02-18 00:00:00-05:00,304.4,304.48,300.72,302.56,1538274,302.69
2020-02-19 00:00:00-05:00,303.1,303.94,300.26,301.36,1991700,301.29
2020-02-20 00:00:00-05:00,300.78,301.48,295.85,299.8,1856865,299.1
2020-02-21 00:00:00-05:00,299.32,303.22,297.44,303.04,2359237,301.45
2020-02-24 00:00:00-05:00,294.78,296.33,291.08,293.16,3414364,293.65
2020-02-25 00:00:00-05:00,293.82,295.04,276.9,277.62,4148268,281.5
2020-02-26 00:00:00-05:00,280.38,286.35,276.18,276.76,4473236,279.87
2020-02-27 00:00:00-05:00,271.62,274.92,264.26,264.36,5476123,268.29
2020-02-28 00:00:00-05:00,254.22,262.04,251.68,261.18,7119237,257.93
2020-03-02 00:00:00-05:00,263.0,268.26,256.5,268.14,5173380,263.95
2020-03-03 00:00:00-05:00,267.88,276.37,262.72,265.06,4951431,268.42
2020-03-04 00:00:00-05:00,268.88,279.68,265.46,278.08,3238172,275.17
2020-03-05 00:00:00-05:00,270.18,270.98,250.42,252.88,4686066,258.03
2020-03-06 00:00:00-05:00,243.0,254.26,240.0,252.96,4606267,248.97
2020-03-09 00:00:00-04:00,230.84,238.12,225.02,230.72,4888446,231.85
2020-03-10 00:00:00-04:00,239.54,240.98,227.07,238.74,5064380,235.12
2020-03-11 00:00:00-04:00,231.64,233.66,213.56,215.02,5459602,220.65
2020-03-12 00:00:00-04:00,188.24,218.16,185.6,205.0,10073144,201.29
2020-03-13 00:00:00-04:00,218.1,221.54,197.1,210.8,8821249,207.54
2020-03-16 00:00:00-04:00,190.72,198.28,181.16,181.86,6539014,187.59
2020-03-17 00:00:00-04:00,182.12,186.9,165.62,185.68,8704688,179.34
2020-03-18 00:00:00-04:00,171.68,171.83,138.04,158.8,12491572,152.67
2020-03-19 00:00:00-04:00,158.46,171.01,144.36,167.52,8212055,160.54
2020-03-20 00:00:00-04:00,169.7,177.68,146.56,165.06,7793237,167.19
2020-03-23 00:00:00-04:00,160.02,160.18,144.6,149.9,6266207,150.03
2020-03-24 00:00:00-04:00,160.2,174.9,160.02,173.52,7036574,169.2
2020-03-25 00:00:00-04:00,175.76,200.35,172.56,192.38,6475113,188.88
2020-03-26 00:00:00-04:00,196.38,209.98,194.0,209.28,8221761,205.84
2020-03-27 00:00:00-04:00,197.5,203.46,193.04,194.3,5492321,198.22
2020-03-30 00:00:00-04:00,192.0,199.49,189.42,196.98,4055080,195.86
2020-03-31 00:00:00-04:00,194.56,198.4,187.74,188.66,4000830,191.9
2020-04-01 00:00:00-04:00,178.96,184.0,176.65,182.74,6599883,180.49
2020-04-02 00:00:00-04:00,179.26,184.5,170.22,172.02,7378150,175.31
